lastname,firstname,nickname,party,city_fr,city_nl,zipcode,cumuls_2017,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,cumuleo_url
Anthoons,Herman,x,CD&V,Gooik,Gooik,1755,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9118-herman-anthoons.php
Anthuenis,Filip,x,Open VLD,Lokeren,Lokeren,9160,1,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9117-filip-anthuenis.php
Antoine,André,x,cdH,Perwez,Perwijs,1360,10,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/11443-andre-antoine.php
Antoine,Erna,x,CD&V,Lierde,Lierde,9570,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9113-erna-antoine.php
Antoine,Laurent,x,cdH,Oupeye,Oupeye,4684,6,oui,oui,oui,,,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9111-laurent-antoine.php
Antonini,Fabio,x,PS,Mons,Bergen,7000,8,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13653-fabio-antonini.php
Antonio,Geert,x,N-VA,Rumst,Rumst,2840,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13654-geert-antonio.php
Arbijn,Wim,x,sp.a,Berlare,Berlare,9290,9,oui,oui,,,,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9108-wim-arbijn.php
Archambeau,Frédéric,x,PS,Trois-Ponts,Trois-Ponts,4980,9,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12813-frederic-archambeau.php
Arena,Maria,x,PS,Forest,Vorst,1190,2,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/11442-maria-arena.php
Arens,Joseph,Josy Arens,cdH,Attert,Attert,6717,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9104-joseph-arens.php
Arnemann,Christine,Christine Baumann-Arnemann,x,Saint-Vith,Sankt-Vith,4780,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/9095-christine-arnemann.php
Arnou,Patrick,x,CD&V,Zedelgem,Zedelgem,8210,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10890-patrick-arnou.php
Arnould,Françoise,x,cdH,Vaux-sur-Sûre,Vaux-sur-Sûre,6640,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13655-francoise-arnould.php
Arnould,Freddy,x,x,Paliseul,Paliseul,6850,6,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12814-freddy-arnould.php
Arnould,Philippe,x,cdH,Bouillon,Bouillon,6830,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9092-philippe-arnould.php
Arnould,Véronique,x,x,Libin,Libin,6890,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13656-veronique-arnould.php
Arrestier,Florence,x,cdH,Nassogne,Nassogne,6950,7,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12815-florence-arrestier.php
Artois,Roger,x,N-VA,Zaventem,Zaventem,1930,6,oui,oui,oui,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16075-roger-artois.php
Artus,Véronique,x,DéFi,Auderghem,Oudergem,1160,4,oui,oui,oui,oui,,,,,,,,,,,https://www.cumuleo.be/mandataire/15607-veronique-artus.php
Asselman,Hugo,x,CD&V,Liedekerke,Liedekerke,1770,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9483-hugo-asselman.php
Asselman,Julie,x,Open VLD,Merchtem,Merchtem,1785,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13657-julie-asselman.php
Aubecq,Bérangère,x,MR,Chaumont-Gistoux,Chaumont-Gistoux,1325,9,oui,oui,oui,oui,oui,oui,,,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9084-berangere-aubecq.php
Aubert,Brigitte,Aubert-Verhelle Brigitte,cdH,Mouscron,Moeskroen,7700,10,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9082-brigitte-aubert.php
Aubry,Jacques,x,MR,Bertogne,Bertogne,6687,12,oui,oui,oui,oui,oui,oui,,,,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10626-jacques-aubry.php
Audenaert,Kristof,x,CD&V,Torhout,Torhout,8820,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,,https://www.cumuleo.be/mandataire/9076-kristof-audenaert.php
Audenaert,Remi,x,CD&V,Saint-Gilles-Waes,Sint-Gillis-Waas,9170,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9075-remi-audenaert.php
Augello,Gianfranco,x,PS,Fontaine-l'Évêque,Fontaine-l'Évêque,6140,3,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12816-gianfranco-augello.php
Augustinus,Els,x,x,Boechout,Boechout,2530,2,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13658-els-augustinus.php
Auspert,Tanguy,x,cdH,Namur,Namen,5000,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9073-tanguy-auspert.php
Aussems,Bernard,x,cdH,Visé,Wezet,4600,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13659-bernard-aussems.php
Aussems,Hubert,x,cdH,Thimister-Clermont,Thimister-Clermont,4890,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10389-hubert-aussems.php
Austen,Joseph,x,cdH,Plombières,Blieberg,4850,11,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/9072-joseph-austen.php
Averhals,Lut,x,sp.a,Londerzeel,Londerzeel,1840,3,oui,,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16798-lut-averhals.php
Avontroodt,Yolande,x,Open VLD,Schilde,Schilde,2970,16,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9067-yolande-avontroodt.php
Avonture,Karolien,x,x,Alveringem,Alveringem,8690,3,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13660-karolien-avonture.php
Avril,Jérôme,x,PS,Saint-Nicolas,Saint-Nicolas,4420,4,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12817-jerome-avril.php
Awouters,Eric,x,Open VLD,Looz,Borgloon,3840,12,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9065-eric-awouters.php
Aydin,Hasan,x,PS,Verviers,Verviers,4800,4,oui,oui,oui,oui,oui,oui,oui,oui,,,,,,,https://www.cumuleo.be/mandataire/12361-hasan-aydin.php
Aydogdu,Mehmet,x,PS,Liège,Luik,4000,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/10206-mehmet-aydogdu.php
Aytar,Mustafa,x,sp.a,Houthalen-Helchteren,Houthalen-Helchteren,3530,5,oui,oui,oui,oui,oui,oui,oui,oui,,oui,oui,,,,https://www.cumuleo.be/mandataire/9064-mustafa-aytar.php
Azzouzi,Mohamed,x,PS,Saint-Josse-Ten-Noode,Sint-Joost-Ten-Noode,1210,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9062-mohamed-azzouzi.php
Babouhot,Philippe,x,x,Chastre,Chastre,1450,5,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16435-philippe-babouhot.php
