"id","city","zipcode"
739,"Bornem",2880
740,"Bornem",2880
741,"Bornem",2880
742,"Bornem",2880
743,"Bornem",2880
744,"Borsbeek",2150
745,"Borsbeek",2150
746,"Borsbeek",2150
747,"Borsbeek",2150
748,"Borsbeek",2150
749,"Borsbeek",2150
750,"Borsbeek",2150
751,"Borsbeek",2150
752,"Bouillon",6830
753,"Bouillon",6830
754,"Bouillon",6830
755,"Bouillon",6830
756,"Bouillon",6830
757,"Bouillon",6830
758,"Bourg-Léopold",3970
759,"Bourg-Léopold",3970
760,"Bourg-Léopold",3970
761,"Bourg-Léopold",3970
762,"Bourg-Léopold",3970
763,"Bourg-Léopold",3970
764,"Bourg-Léopold",3970
765,"Bourg-Léopold",3970
766,"Bourg-Léopold",3970
767,"Bourg-Léopold",3970
768,"Bourg-Léopold",3970
769,"Boussu",7300
770,"Boussu",7300
771,"Boussu",7300
772,"Boussu",7300
773,"Boussu",7300
774,"Boussu",7300
775,"Boussu",7300
776,"Boussu",7300
777,"Boussu",7300
778,"Boussu",7300
779,"Boussu",7300
780,"Boussu",7300
781,"Boussu",7300
782,"Boutersem",3370
783,"Boutersem",3370
784,"Boutersem",3370
785,"Boutersem",3370
786,"Boutersem",3370
787,"Boutersem",3370
788,"Boutersem",3370
789,"Boutersem",3370
790,"Boutersem",3370
791,"Braine-le-Château",1440
792,"Braine-le-Château",1440
793,"Braine-le-Château",1440
794,"Braine-le-Château",1440
795,"Braine-le-Château",1440
796,"Braine-le-Château",1440
797,"Braine-le-Château",1440
798,"Braine-le-Château",1440
799,"Braine-le-Comte",7090
800,"Braine-le-Comte",7090
801,"Braine-le-Comte",7090
802,"Braine-le-Comte",7090
803,"Braine-le-Comte",7090
804,"Braine-le-Comte",7090
805,"Braine-le-Comte",7090
806,"Braine-le-Comte",7090
807,"Braine-le-Comte",7090
808,"Braine-le-Comte",7090
809,"Braives",4260
810,"Braives",4260
811,"Braives",4260
812,"Braives",4260
813,"Braives",4260
814,"Braives",4260
815,"Braives",4260
816,"Braives",4260
817,"Braives",4260
818,"Brakel",9660
819,"Brakel",9660
820,"Brakel",9660
821,"Brakel",9660
822,"Brakel",9660
823,"Brakel",9660
824,"Brakel",9660
825,"Brakel",9660
826,"Brakel",9660
827,"Brakel",9660
828,"Brakel",9660
829,"Brakel",9660
830,"Brasschaat",2930
831,"Brasschaat",2930
832,"Brasschaat",2930
833,"Brasschaat",2930
834,"Brasschaat",2930
835,"Brasschaat",2930
836,"Brasschaat",2930
837,"Brasschaat",2930
838,"Brasschaat",2930
839,"Brasschaat",2930
840,"Brasschaat",2930
841,"Brasschaat",2930
842,"Brasschaat",2930
843,"Brasschaat",2930
844,"Brasschaat",2930
845,"Brasschaat",2930
846,"Brecht",2960
847,"Brecht",2960
848,"Brecht",2960
849,"Brecht",2960
850,"Brecht",2960
851,"Brecht",2960
852,"Brecht",2960
853,"Brecht",2960
854,"Brecht",2960
855,"Brecht",2960
856,"Brecht",2960
857,"Bredene",8450
858,"Bredene",8450
859,"Bredene",8450
860,"Bredene",8450
861,"Bredene",8450
862,"Bredene",8450
863,"Bredene",8450
864,"Bredene",8450
865,"Bredene",8450
866,"Bredene",8450
867,"Bredene",8450
868,"Bree",3960
869,"Bree",3960
870,"Bree",3960
871,"Bree",3960
872,"Bree",3960
873,"Bree",3960
874,"Bree",3960
875,"Bree",3960
876,"Bree",3960
877,"Brugelette",7940
878,"Brugelette",7940
879,"Brugelette",7940
880,"Brugelette",7940
881,"Brugelette",7940
882,"Bruges",8000
883,"Bruges",8000
884,"Bruges",8000
885,"Bruges",8000
886,"Bruges",8000
887,"Bruges",8000
888,"Bruges",8000
889,"Bruges",8000
890,"Bruges",8000
891,"Bruges",8000
892,"Bruges",8000
893,"Bruges",8000
894,"Bruges",8000
895,"Bruges",8000
896,"Bruges",8000
897,"Bruges",8000
898,"Bruges",8000
899,"Bruges",8000
900,"Bruges",8000
901,"Bruges",8000
902,"Bruges",8000
903,"Bruges",8000
904,"Bruges",8000
905,"Bruges",8000
906,"Bruges",8000
907,"Bruges",8000
908,"Bruges",8000
909,"Bruges",8000
910,"Brunehaut",7620
911,"Brunehaut",7620
912,"Brunehaut",7620
913,"Brunehaut",7620
914,"Brunehaut",7620
915,"Brunehaut",7620
916,"Bruxelles",1000
917,"Bruxelles",1000
918,"Bruxelles",1000
919,"Bruxelles",1000
920,"Bruxelles",1000
921,"Bruxelles",1000
922,"Bruxelles",1000
923,"Bruxelles",1000
924,"Bruxelles",1000
925,"Bruxelles",1000
926,"Bruxelles",1000
927,"Bruxelles",1000
928,"Bruxelles",1000
929,"Bruxelles",1000
930,"Bruxelles",1000
931,"Bruxelles",1000
932,"Bruxelles",1000
933,"Bruxelles",1000
934,"Bruxelles",1000
935,"Bruxelles",1000
936,"Bruxelles",1000
937,"Bruxelles",1000
938,"Bruxelles",1000
939,"Bruxelles",1000
940,"Bruxelles",1000
941,"Bruxelles",1000
942,"Bruxelles",1000
943,"Bruxelles",1000
944,"Bruxelles",1000
945,"Bruxelles",1000
946,"Buggenhout",9255
947,"Buggenhout",9255
948,"Buggenhout",9255
949,"Buggenhout",9255
950,"Buggenhout",9255
951,"Buggenhout",9255
952,"Buggenhout",9255
953,"Buggenhout",9255
954,"Bullange",4760
955,"Bullange",4760
956,"Bullange",4760
957,"Bullange",4760
958,"Bullange",4760
959,"Bullange",4760
960,"Bullange",4760
961,"Bullange",4760
962,"Bullange",4760
963,"Burdinne",4210
964,"Burdinne",4210
965,"Burdinne",4210
966,"Burdinne",4210
967,"Burdinne",4210
968,"Burg-Reuland",4791
969,"Burg-Reuland",4791
970,"Burg-Reuland",4791
971,"Burg-Reuland",4791
972,"Burg-Reuland",4791
973,"Burg-Reuland",4791
974,"Butgenbach",4750
975,"Butgenbach",4750
976,"Butgenbach",4750
977,"Butgenbach",4750
978,"Butgenbach",4750
979,"Butgenbach",4750
980,"Butgenbach",4750
981,"Butgenbach",4750
982,"Celles",7760
983,"Celles",7760
984,"Celles",7760
985,"Celles",7760
986,"Celles",7760
987,"Celles",7760
988,"Celles",7760
989,"Celles",7760
990,"Cerfontaine",5630
991,"Cerfontaine",5630
992,"Cerfontaine",5630
993,"Cerfontaine",5630
994,"Cerfontaine",5630
995,"Chapelle-lez-Herlaimont",7160
996,"Chapelle-lez-Herlaimont",7160
997,"Chapelle-lez-Herlaimont",7160
998,"Chapelle-lez-Herlaimont",7160
999,"Chapelle-lez-Herlaimont",7160
1000,"Chapelle-lez-Herlaimont",7160
1001,"Chapelle-lez-Herlaimont",7160
1002,"Charleroi",6000
1003,"Charleroi",6000
1004,"Charleroi",6000
1005,"Charleroi",6000
1006,"Charleroi",6000
1007,"Charleroi",6000
1008,"Charleroi",6000
1009,"Charleroi",6000
1010,"Charleroi",6000
1011,"Charleroi",6000
1012,"Charleroi",6000
1013,"Charleroi",6000
1014,"Charleroi",6000
1015,"Charleroi",6000
1016,"Charleroi",6000
1017,"Charleroi",6000
1018,"Charleroi",6000
1019,"Charleroi",6000
1020,"Charleroi",6000
1021,"Charleroi",6000
1022,"Charleroi",6000
1023,"Charleroi",6000
1024,"Charleroi",6000
1025,"Charleroi",6000
1026,"Charleroi",6000
1027,"Charleroi",6000
1028,"Charleroi",6000
1029,"Charleroi",6000
1030,"Charleroi",6000
1031,"Charleroi",6000
1032,"Charleroi",6000
1033,"Charleroi",6000
1034,"Charleroi",6000
1035,"Charleroi",6000
1036,"Charleroi",6000
1037,"Charleroi",6000
1038,"Charleroi",6000
1039,"Charleroi",6000
1040,"Charleroi",6000
1041,"Charleroi",6000
1042,"Chastre",1450
1043,"Chastre",1450
1044,"Chastre",1450
1045,"Chastre",1450
1046,"Chastre",1450
1047,"Chastre",1450
1048,"Chastre",1450
1049,"Chastre",1450
1050,"Châtelet",6200
1051,"Châtelet",6200
1052,"Châtelet",6200
1053,"Châtelet",6200
1054,"Châtelet",6200
1055,"Châtelet",6200
1056,"Châtelet",6200
1057,"Châtelet",6200
1058,"Châtelet",6200
1059,"Châtelet",6200
1060,"Châtelet",6200
1061,"Châtelet",6200
1062,"Chaudfontaine",4053
1063,"Chaudfontaine",4053
1064,"Chaudfontaine",4053
1065,"Chaudfontaine",4053
1066,"Chaudfontaine",4053
1067,"Chaudfontaine",4053
1068,"Chaudfontaine",4053
1069,"Chaudfontaine",4053
1070,"Chaudfontaine",4053
1071,"Chaudfontaine",4053
1072,"Chaudfontaine",4053
1073,"Chaudfontaine",4053
1074,"Chaudfontaine",4053
1075,"Chaudfontaine",4053
1076,"Chaumont-Gistoux",1325
1077,"Chaumont-Gistoux",1325
1078,"Chaumont-Gistoux",1325
1079,"Chaumont-Gistoux",1325
1080,"Chaumont-Gistoux",1325
1081,"Chaumont-Gistoux",1325
1082,"Chaumont-Gistoux",1325
1083,"Chaumont-Gistoux",1325
1084,"Chaumont-Gistoux",1325
1085,"Chaumont-Gistoux",1325
1086,"Chièvres",7950
1087,"Chièvres",7950
1088,"Chièvres",7950
1089,"Chièvres",7950
1090,"Chièvres",7950
1091,"Chièvres",7950
